date,run,scenario,Drug,Efficacy
2004-01-01,0,012_cycling_asaq_dhappq_al_2y,AL,0.9249501468907686
2004-01-01,1,012_cycling_asaq_dhappq_al_2y,AL,0.9252108084293026
2004-01-01,2,012_cycling_asaq_dhappq_al_2y,AL,0.9249431877607349
2004-01-01,3,012_cycling_asaq_dhappq_al_2y,AL,0.925745296928473
2004-01-01,4,012_cycling_asaq_dhappq_al_2y,AL,0.9251390339477173
2004-01-01,5,012_cycling_asaq_dhappq_al_2y,AL,0.9250944334910937
2004-01-01,6,012_cycling_asaq_dhappq_al_2y,AL,0.9257323492221056
2004-01-01,7,012_cycling_asaq_dhappq_al_2y,AL,0.9254221131058229
2004-01-01,8,012_cycling_asaq_dhappq_al_2y,AL,0.9257133494546598
2004-01-01,9,012_cycling_asaq_dhappq_al_2y,AL,0.926266251330249
2004-01-01,10,012_cycling_asaq_dhappq_al_2y,AL,0.9262662156190734
2004-01-01,11,012_cycling_asaq_dhappq_al_2y,AL,0.9255337479345208
2004-01-01,12,012_cycling_asaq_dhappq_al_2y,AL,0.9264706546445836
2004-01-01,13,012_cycling_asaq_dhappq_al_2y,AL,0.9258528841548508
2004-01-01,14,012_cycling_asaq_dhappq_al_2y,AL,0.9256340380899242
2004-01-01,15,012_cycling_asaq_dhappq_al_2y,AL,0.9258066526677132
2004-01-01,16,012_cycling_asaq_dhappq_al_2y,AL,0.9246631443433991
2004-01-01,17,012_cycling_asaq_dhappq_al_2y,AL,0.9257660851031477
2004-01-01,18,012_cycling_asaq_dhappq_al_2y,AL,0.9255342209207057
2004-01-01,19,012_cycling_asaq_dhappq_al_2y,AL,0.9252597370089778
2004-01-01,20,012_cycling_asaq_dhappq_al_2y,AL,0.9254525560884702
2004-01-01,21,012_cycling_asaq_dhappq_al_2y,AL,0.9255574485314486
2004-01-01,22,012_cycling_asaq_dhappq_al_2y,AL,0.9255567255215491
2004-01-01,23,012_cycling_asaq_dhappq_al_2y,AL,0.9256600734331841
2004-01-01,24,012_cycling_asaq_dhappq_al_2y,AL,0.9254552633386317
2004-01-01,25,012_cycling_asaq_dhappq_al_2y,AL,0.9253405011998476
2004-01-01,26,012_cycling_asaq_dhappq_al_2y,AL,0.9249664186700584
2004-01-01,27,012_cycling_asaq_dhappq_al_2y,AL,0.9248082926927
2004-01-01,28,012_cycling_asaq_dhappq_al_2y,AL,0.9249552998377932
2004-01-01,29,012_cycling_asaq_dhappq_al_2y,AL,0.9258693721447953
2004-01-01,30,012_cycling_asaq_dhappq_al_2y,AL,0.9258560997192758
2004-01-01,31,012_cycling_asaq_dhappq_al_2y,AL,0.9259838517324772
2004-02-01,0,012_cycling_asaq_dhappq_al_2y,AL,0.9250407299594886
2004-02-01,1,012_cycling_asaq_dhappq_al_2y,AL,0.9249787362471585
2004-02-01,2,012_cycling_asaq_dhappq_al_2y,AL,0.9263806413253161
2004-02-01,3,012_cycling_asaq_dhappq_al_2y,AL,0.9260854761005752
2004-02-01,4,012_cycling_asaq_dhappq_al_2y,AL,0.9268870498541132
2004-02-01,5,012_cycling_asaq_dhappq_al_2y,AL,0.9250262052428897
2004-02-01,6,012_cycling_asaq_dhappq_al_2y,AL,0.9265723037238637
2004-02-01,7,012_cycling_asaq_dhappq_al_2y,AL,0.9260105734392153
2004-02-01,8,012_cycling_asaq_dhappq_al_2y,AL,0.9258683799074674
2004-02-01,9,012_cycling_asaq_dhappq_al_2y,AL,0.9252462430820965
2004-02-01,10,012_cycling_asaq_dhappq_al_2y,AL,0.9246954684470402
2004-02-01,11,012_cycling_asaq_dhappq_al_2y,AL,0.9250159924549739
2004-02-01,12,012_cycling_asaq_dhappq_al_2y,AL,0.9260696561258301
2004-02-01,13,012_cycling_asaq_dhappq_al_2y,AL,0.9267916986714549
2004-02-01,14,012_cycling_asaq_dhappq_al_2y,AL,0.9261401482189282
2004-02-01,15,012_cycling_asaq_dhappq_al_2y,AL,0.9261711028709086
2004-02-01,16,012_cycling_asaq_dhappq_al_2y,AL,0.9256088904456962
2004-02-01,17,012_cycling_asaq_dhappq_al_2y,AL,0.9265260831263448
2004-02-01,18,012_cycling_asaq_dhappq_al_2y,AL,0.9270421623873383
2004-02-01,19,012_cycling_asaq_dhappq_al_2y,AL,0.925303871981366
2004-02-01,20,012_cycling_asaq_dhappq_al_2y,AL,0.9255862293882892
2004-02-01,21,012_cycling_asaq_dhappq_al_2y,AL,0.9246961754549344
2004-02-01,22,012_cycling_asaq_dhappq_al_2y,AL,0.925255404159987
2004-02-01,23,012_cycling_asaq_dhappq_al_2y,AL,0.9248646777252852
2004-02-01,24,012_cycling_asaq_dhappq_al_2y,AL,0.9259863225690564
