date,run,scenario,Drug,Efficacy
2004-01-01,0,017_mft_al50_asaq50,AL,0.9251364688908316
2004-01-01,1,017_mft_al50_asaq50,AL,0.9253114752926094
2004-01-01,2,017_mft_al50_asaq50,AL,0.9255270399562994
2004-01-01,3,017_mft_al50_asaq50,AL,0.9255964566510305
2004-01-01,4,017_mft_al50_asaq50,AL,0.9254531131294764
2004-01-01,5,017_mft_al50_asaq50,AL,0.9251481181812966
2004-01-01,6,017_mft_al50_asaq50,AL,0.9251296876307987
2004-01-01,7,017_mft_al50_asaq50,AL,0.9249332160286879
2004-01-01,8,017_mft_al50_asaq50,AL,0.9260553076068285
2004-01-01,9,017_mft_al50_asaq50,AL,0.9247890197874954
2004-01-01,10,017_mft_al50_asaq50,AL,0.9249133510254272
2004-01-01,11,017_mft_al50_asaq50,AL,0.9248687707813575
2004-01-01,12,017_mft_al50_asaq50,AL,0.9252798505118179
2004-01-01,13,017_mft_al50_asaq50,AL,0.9251589803137052
2004-01-01,14,017_mft_al50_asaq50,AL,0.9260230676425668
2004-01-01,15,017_mft_al50_asaq50,AL,0.925264845958674
2004-01-01,16,017_mft_al50_asaq50,AL,0.9253944976935748
2004-01-01,17,017_mft_al50_asaq50,AL,0.9254422886088581
2004-01-01,18,017_mft_al50_asaq50,AL,0.9257141532827029
2004-01-01,19,017_mft_al50_asaq50,AL,0.9252808095311024
2004-01-01,20,017_mft_al50_asaq50,AL,0.925603374810606
2004-01-01,21,017_mft_al50_asaq50,AL,0.9254658128531547
2004-01-01,22,017_mft_al50_asaq50,AL,0.9256465648876305
2004-01-01,23,017_mft_al50_asaq50,AL,0.9255503963642533
2004-01-01,24,017_mft_al50_asaq50,AL,0.925738718795348
2004-01-01,25,017_mft_al50_asaq50,AL,0.9250393154666677
2004-01-01,26,017_mft_al50_asaq50,AL,0.925817601565402
2004-01-01,27,017_mft_al50_asaq50,AL,0.9259464631303262
2004-01-01,28,017_mft_al50_asaq50,AL,0.9248152277466579
2004-01-01,29,017_mft_al50_asaq50,AL,0.9251704995071087
2004-01-01,30,017_mft_al50_asaq50,AL,0.9261890731121829
2004-01-01,31,017_mft_al50_asaq50,AL,0.9251722072034267
