date,run,scenario,Drug,Efficacy
2004-03-01,7,008_cycling_dhappq_asaq_2y,AL,0.9264859146188056
2004-03-01,8,008_cycling_dhappq_asaq_2y,AL,0.9253005535703018
2004-03-01,9,008_cycling_dhappq_asaq_2y,AL,0.9248036108538057
2004-03-01,10,008_cycling_dhappq_asaq_2y,AL,0.9267363996132143
2004-03-01,11,008_cycling_dhappq_asaq_2y,AL,0.9255193692633349
2004-03-01,12,008_cycling_dhappq_asaq_2y,AL,0.9252718858425858
2004-03-01,13,008_cycling_dhappq_asaq_2y,AL,0.9262423170819312
2004-03-01,14,008_cycling_dhappq_asaq_2y,AL,0.9252230908077225
2004-03-01,15,008_cycling_dhappq_asaq_2y,AL,0.9246154679666295
2004-03-01,16,008_cycling_dhappq_asaq_2y,AL,0.9263897393066822
2004-03-01,17,008_cycling_dhappq_asaq_2y,AL,0.9262632541008511
2004-03-01,18,008_cycling_dhappq_asaq_2y,AL,0.9241828703498128
2004-03-01,19,008_cycling_dhappq_asaq_2y,AL,0.9252784361030142
2004-03-01,20,008_cycling_dhappq_asaq_2y,AL,0.9248784817264736
2004-03-01,21,008_cycling_dhappq_asaq_2y,AL,0.9255609085993811
2004-03-01,22,008_cycling_dhappq_asaq_2y,AL,0.9256847092516589
2004-03-01,23,008_cycling_dhappq_asaq_2y,AL,0.9266790229583475
2004-03-01,24,008_cycling_dhappq_asaq_2y,AL,0.9251246942873028
2004-03-01,25,008_cycling_dhappq_asaq_2y,AL,0.9261733909114319
2004-03-01,26,008_cycling_dhappq_asaq_2y,AL,0.9268733727156488
2004-03-01,27,008_cycling_dhappq_asaq_2y,AL,0.9245623572123589
2004-03-01,28,008_cycling_dhappq_asaq_2y,AL,0.9262878059661034
2004-03-01,29,008_cycling_dhappq_asaq_2y,AL,0.9253349793460663
2004-03-01,30,008_cycling_dhappq_asaq_2y,AL,0.9251164899905248
2004-03-01,31,008_cycling_dhappq_asaq_2y,AL,0.9251566404661489
2004-04-01,0,008_cycling_dhappq_asaq_2y,AL,0.9246688898257878
2004-04-01,1,008_cycling_dhappq_asaq_2y,AL,0.9248740746826053
2004-04-01,2,008_cycling_dhappq_asaq_2y,AL,0.9260455126276927
2004-04-01,3,008_cycling_dhappq_asaq_2y,AL,0.9249587584203726
2004-04-01,4,008_cycling_dhappq_asaq_2y,AL,0.9266516957854668
2004-04-01,5,008_cycling_dhappq_asaq_2y,AL,0.9259555428536076
2004-04-01,6,008_cycling_dhappq_asaq_2y,AL,0.9239385770752343
2004-04-01,7,008_cycling_dhappq_asaq_2y,AL,0.9250460150993814
2004-04-01,8,008_cycling_dhappq_asaq_2y,AL,0.925564544375017
2004-04-01,9,008_cycling_dhappq_asaq_2y,AL,0.9265028904998295
2004-04-01,10,008_cycling_dhappq_asaq_2y,AL,0.9260969366141405
2004-04-01,11,008_cycling_dhappq_asaq_2y,AL,0.9240531061877334
2004-04-01,12,008_cycling_dhappq_asaq_2y,AL,0.924399737672781
2004-04-01,13,008_cycling_dhappq_asaq_2y,AL,0.9259419806559291
2004-04-01,14,008_cycling_dhappq_asaq_2y,AL,0.924906519408275
2004-04-01,15,008_cycling_dhappq_asaq_2y,AL,0.9251712404762161
2004-04-01,16,008_cycling_dhappq_asaq_2y,AL,0.9247892050137425
2004-04-01,17,008_cycling_dhappq_asaq_2y,AL,0.9255340124772446
2004-04-01,18,008_cycling_dhappq_asaq_2y,AL,0.924693292573588
2004-04-01,19,008_cycling_dhappq_asaq_2y,AL,0.9252433272604347
2004-04-01,20,008_cycling_dhappq_asaq_2y,AL,0.9248548435096877
2004-04-01,21,008_cycling_dhappq_asaq_2y,AL,0.9272930925507591
2004-04-01,22,008_cycling_dhappq_asaq_2y,AL,0.9249393557183277
2004-04-01,23,008_cycling_dhappq_asaq_2y,AL,0.9258190762447421
2004-04-01,24,008_cycling_dhappq_asaq_2y,AL,0.9254294986283356
2004-04-01,25,008_cycling_dhappq_asaq_2y,AL,0.9266149337989258
2004-04-01,26,008_cycling_dhappq_asaq_2y,AL,0.9260055209424979
2004-04-01,27,008_cycling_dhappq_asaq_2y,AL,0.9236914180425926
2004-04-01,28,008_cycling_dhappq_asaq_2y,AL,0.9268400486050444
2004-04-01,29,008_cycling_dhappq_asaq_2y,AL,0.9257699472601575
2004-04-01,30,008_cycling_dhappq_asaq_2y,AL,0.9269012919379414
2004-04-01,31,008_cycling_dhappq_asaq_2y,AL,0.9247579849360097
2004-05-01,0,008_cycling_dhappq_asaq_2y,AL,0.9261787536100909
2004-05-01,1,008_cycling_dhappq_asaq_2y,AL,0.9246019449818383
2004-05-01,2,008_cycling_dhappq_asaq_2y,AL,0.9237705711195209
2004-05-01,3,008_cycling_dhappq_asaq_2y,AL,0.9246784318234832
2004-05-01,4,008_cycling_dhappq_asaq_2y,AL,0.926088680197584
2004-05-01,5,008_cycling_dhappq_asaq_2y,AL,0.9254693214105725
2004-05-01,6,008_cycling_dhappq_asaq_2y,AL,0.9263635557301013
2004-05-01,7,008_cycling_dhappq_asaq_2y,AL,0.9249860392460959
2004-05-01,8,008_cycling_dhappq_asaq_2y,AL,0.9245838764968345
2004-05-01,9,008_cycling_dhappq_asaq_2y,AL,0.9254479313330098
2004-05-01,10,008_cycling_dhappq_asaq_2y,AL,0.9259804240319316
2004-05-01,11,008_cycling_dhappq_asaq_2y,AL,0.9233301343375053
2004-05-01,12,008_cycling_dhappq_asaq_2y,AL,0.9249156203512097
2004-05-01,13,008_cycling_dhappq_asaq_2y,AL,0.9262337969457429
2004-05-01,14,008_cycling_dhappq_asaq_2y,AL,0.9254101508193852
2004-05-01,15,008_cycling_dhappq_asaq_2y,AL,0.926258224843599
2004-05-01,16,008_cycling_dhappq_asaq_2y,AL,0.9245072579401411
2004-05-01,17,008_cycling_dhappq_asaq_2y,AL,0.9250122019611573
2004-05-01,18,008_cycling_dhappq_asaq_2y,AL,0.9258238132721586
2004-05-01,19,008_cycling_dhappq_asaq_2y,AL,0.9266787769781792
2004-05-01,20,008_cycling_dhappq_asaq_2y,AL,0.9251326626277618
2004-05-01,21,008_cycling_dhappq_asaq_2y,AL,0.9257898658496535
2004-05-01,22,008_cycling_dhappq_asaq_2y,AL,0.9252646211031994
2004-05-01,23,008_cycling_dhappq_asaq_2y,AL,0.9253144034468421
2004-05-01,24,008_cycling_dhappq_asaq_2y,AL,0.9257324245000226
2004-05-01,25,008_cycling_dhappq_asaq_2y,AL,0.9254296970121981
2004-05-01,26,008_cycling_dhappq_asaq_2y,AL,0.926070535536654
2004-05-01,27,008_cycling_dhappq_asaq_2y,AL,0.9254907075566331
2004-05-01,28,008_cycling_dhappq_asaq_2y,AL,0.9253215391317398
2004-05-01,29,008_cycling_dhappq_asaq_2y,AL,0.9265492353902943
2004-05-01,30,008_cycling_dhappq_asaq_2y,AL,0.9270369123978403
2004-05-01,31,008_cycling_dhappq_asaq_2y,AL,0.9246710893067498
2004-06-01,0,008_cycling_dhappq_asaq_2y,AL,0.9248303696602401
2004-06-01,1,008_cycling_dhappq_asaq_2y,AL,0.9252444606038378
2004-06-01,2,008_cycling_dhappq_asaq_2y,AL,0.9239199955105172
2004-06-01,3,008_cycling_dhappq_asaq_2y,AL,0.9252765246585639
2004-06-01,4,008_cycling_dhappq_asaq_2y,AL,0.9239617213129175
2004-06-01,5,008_cycling_dhappq_asaq_2y,AL,0.9251907129760742
2004-06-01,6,008_cycling_dhappq_asaq_2y,AL,0.9261154299261879
2004-06-01,7,008_cycling_dhappq_asaq_2y,AL,0.9257991596576892
2004-06-01,8,008_cycling_dhappq_asaq_2y,AL,0.9241683991214057
2004-06-01,9,008_cycling_dhappq_asaq_2y,AL,0.9252911430896058
2004-06-01,10,008_cycling_dhappq_asaq_2y,AL,0.925204763072664
2004-06-01,11,008_cycling_dhappq_asaq_2y,AL,0.9252134879874543
2004-06-01,12,008_cycling_dhappq_asaq_2y,AL,0.925508820079545
2004-06-01,13,008_cycling_dhappq_asaq_2y,AL,0.9259473637493996
2004-06-01,14,008_cycling_dhappq_asaq_2y,AL,0.9241551100805145
2004-06-01,15,008_cycling_dhappq_asaq_2y,AL,0.9257012365891434
2004-06-01,16,008_cycling_dhappq_asaq_2y,AL,0.9248473432793547
2004-06-01,17,008_cycling_dhappq_asaq_2y,AL,0.9264737669811411
2004-06-01,18,008_cycling_dhappq_asaq_2y,AL,0.9240835662577485
2004-06-01,19,008_cycling_dhappq_asaq_2y,AL,0.9255750850086074
2004-06-01,20,008_cycling_dhappq_asaq_2y,AL,0.9247691539413494
2004-06-01,21,008_cycling_dhappq_asaq_2y,AL,0.9255392122759385
2004-06-01,22,008_cycling_dhappq_asaq_2y,AL,0.9256271172489956
2004-06-01,23,008_cycling_dhappq_asaq_2y,AL,0.9252759319173055
2004-06-01,24,008_cycling_dhappq_asaq_2y,AL,0.9266972592998707
2004-06-01,25,008_cycling_dhappq_asaq_2y,AL,0.9245379586717479
2004-06-01,26,008_cycling_dhappq_asaq_2y,AL,0.9242191039229587
2004-06-01,27,008_cycling_dhappq_asaq_2y,AL,0.9251137879764969
2004-06-01,28,008_cycling_dhappq_asaq_2y,AL,0.9250022119861679
2004-06-01,29,008_cycling_dhappq_asaq_2y,AL,0.9248566055459232
2004-06-01,30,008_cycling_dhappq_asaq_2y,AL,0.9257221994004199
2004-06-01,31,008_cycling_dhappq_asaq_2y,AL,0.9252033329028146
2004-07-01,0,008_cycling_dhappq_asaq_2y,AL,0.924547403321325
2004-07-01,1,008_cycling_dhappq_asaq_2y,AL,0.9253912904721419
2004-07-01,2,008_cycling_dhappq_asaq_2y,AL,0.9238852633525465
2004-07-01,3,008_cycling_dhappq_asaq_2y,AL,0.9229032064887028
2004-07-01,4,008_cycling_dhappq_asaq_2y,AL,0.9239377138336458
2004-07-01,5,008_cycling_dhappq_asaq_2y,AL,0.924937824420322
2004-07-01,6,008_cycling_dhappq_asaq_2y,AL,0.9249301636149021
2004-07-01,7,008_cycling_dhappq_asaq_2y,AL,0.9261330217103566
2004-07-01,8,008_cycling_dhappq_asaq_2y,AL,0.925788603902181
2004-07-01,9,008_cycling_dhappq_asaq_2y,AL,0.925865247190782
2004-07-01,10,008_cycling_dhappq_asaq_2y,AL,0.925341593280708
2004-07-01,11,008_cycling_dhappq_asaq_2y,AL,0.9246271820313317
2004-07-01,12,008_cycling_dhappq_asaq_2y,AL,0.9244472378268815
2004-07-01,13,008_cycling_dhappq_asaq_2y,AL,0.9261147069061845
2004-07-01,14,008_cycling_dhappq_asaq_2y,AL,0.9251567820587481
2004-07-01,15,008_cycling_dhappq_asaq_2y,AL,0.9250583378953987
2004-07-01,16,008_cycling_dhappq_asaq_2y,AL,0.925137395790821
2004-07-01,17,008_cycling_dhappq_asaq_2y,AL,0.9258470225254063
2004-07-01,18,008_cycling_dhappq_asaq_2y,AL,0.9253106421787717
2004-07-01,19,008_cycling_dhappq_asaq_2y,AL,0.9263457776600239
2004-07-01,20,008_cycling_dhappq_asaq_2y,AL,0.9249348454048966
2004-07-01,21,008_cycling_dhappq_asaq_2y,AL,0.9241117012921984
2004-07-01,22,008_cycling_dhappq_asaq_2y,AL,0.9276135663150953
2004-07-01,23,008_cycling_dhappq_asaq_2y,AL,0.9243202598203779
2004-07-01,24,008_cycling_dhappq_asaq_2y,AL,0.9243717789677904
2004-07-01,25,008_cycling_dhappq_asaq_2y,AL,0.9243292852344481
2004-07-01,26,008_cycling_dhappq_asaq_2y,AL,0.9234002987110413
2004-07-01,27,008_cycling_dhappq_asaq_2y,AL,0.9250134009698161
2004-07-01,28,008_cycling_dhappq_asaq_2y,AL,0.9257630267771095
2004-07-01,29,008_cycling_dhappq_asaq_2y,AL,0.924706200498785
2004-07-01,30,008_cycling_dhappq_asaq_2y,AL,0.9235046768659566
2004-07-01,31,008_cycling_dhappq_asaq_2y,AL,0.9243145145752235
2004-08-01,0,008_cycling_dhappq_asaq_2y,AL,0.9227967084096395
2004-08-01,1,008_cycling_dhappq_asaq_2y,AL,0.9247038063307389
2004-08-01,2,008_cycling_dhappq_asaq_2y,AL,0.9239396207436104
2004-08-01,3,008_cycling_dhappq_asaq_2y,AL,0.9234875029886268
2004-08-01,4,008_cycling_dhappq_asaq_2y,AL,0.924042918780414
2004-08-01,5,008_cycling_dhappq_asaq_2y,AL,0.9245504985870642
2004-08-01,6,008_cycling_dhappq_asaq_2y,AL,0.9255229842839503
2004-08-01,7,008_cycling_dhappq_asaq_2y,AL,0.924061173324972
2004-08-01,8,008_cycling_dhappq_asaq_2y,AL,0.9245702605692582
2004-08-01,9,008_cycling_dhappq_asaq_2y,AL,0.9240529520693016
2004-08-01,10,008_cycling_dhappq_asaq_2y,AL,0.9236260477472877
2004-08-01,11,008_cycling_dhappq_asaq_2y,AL,0.9257036014186735
2004-08-01,12,008_cycling_dhappq_asaq_2y,AL,0.9256183692832086
2004-08-01,13,008_cycling_dhappq_asaq_2y,AL,0.9251369653953663
2004-08-01,14,008_cycling_dhappq_asaq_2y,AL,0.9248924261977053
2004-08-01,15,008_cycling_dhappq_asaq_2y,AL,0.9248347045211514
2004-08-01,16,008_cycling_dhappq_asaq_2y,AL,0.9233005504155013
2004-08-01,17,008_cycling_dhappq_asaq_2y,AL,0.9264641440244862
2004-08-01,18,008_cycling_dhappq_asaq_2y,AL,0.9246052911204903
2004-08-01,19,008_cycling_dhappq_asaq_2y,AL,0.9266093391267464
2004-08-01,20,008_cycling_dhappq_asaq_2y,AL,0.9264136259767819
2004-08-01,21,008_cycling_dhappq_asaq_2y,AL,0.9249280547785446
2004-08-01,22,008_cycling_dhappq_asaq_2y,AL,0.9245619252159759
2004-08-01,23,008_cycling_dhappq_asaq_2y,AL,0.9248590121034773
2004-08-01,24,008_cycling_dhappq_asaq_2y,AL,0.9252255317383629
2004-08-01,25,008_cycling_dhappq_asaq_2y,AL,0.9254374460986317
2004-08-01,26,008_cycling_dhappq_asaq_2y,AL,0.922445606079978
2004-08-01,27,008_cycling_dhappq_asaq_2y,AL,0.9248893732175204
2004-08-01,28,008_cycling_dhappq_asaq_2y,AL,0.9245827912395153
2004-08-01,29,008_cycling_dhappq_asaq_2y,AL,0.9261781362157191
2004-08-01,30,008_cycling_dhappq_asaq_2y,AL,0.9228965075100846
2004-08-01,31,008_cycling_dhappq_asaq_2y,AL,0.9238545131055496
2004-09-01,0,008_cycling_dhappq_asaq_2y,AL,0.9244553598260146
2004-09-01,1,008_cycling_dhappq_asaq_2y,AL,0.925955954032385
2004-09-01,2,008_cycling_dhappq_asaq_2y,AL,0.9243986380832169
2004-09-01,3,008_cycling_dhappq_asaq_2y,AL,0.9228870913214559
2004-09-01,4,008_cycling_dhappq_asaq_2y,AL,0.9235388782047483
2004-09-01,5,008_cycling_dhappq_asaq_2y,AL,0.9256218311136243
2004-09-01,6,008_cycling_dhappq_asaq_2y,AL,0.9245647006094005
2004-09-01,7,008_cycling_dhappq_asaq_2y,AL,0.9243496308174584
2004-09-01,8,008_cycling_dhappq_asaq_2y,AL,0.9243928205810376
2004-09-01,9,008_cycling_dhappq_asaq_2y,AL,0.9249105977357402
2004-09-01,10,008_cycling_dhappq_asaq_2y,AL,0.9229364118450685
2004-09-01,11,008_cycling_dhappq_asaq_2y,AL,0.9269875569586356
2004-09-01,12,008_cycling_dhappq_asaq_2y,AL,0.9244449666032274
2004-09-01,13,008_cycling_dhappq_asaq_2y,AL,0.9259624396177731
2004-09-01,14,008_cycling_dhappq_asaq_2y,AL,0.9253988988817521
2004-09-01,15,008_cycling_dhappq_asaq_2y,AL,0.9255165379463947
2004-09-01,16,008_cycling_dhappq_asaq_2y,AL,0.9250915345370285
2004-09-01,17,008_cycling_dhappq_asaq_2y,AL,0.9259255155909268
2004-09-01,18,008_cycling_dhappq_asaq_2y,AL,0.9233768256428405
2004-09-01,19,008_cycling_dhappq_asaq_2y,AL,0.9244039280176081
2004-09-01,20,008_cycling_dhappq_asaq_2y,AL,0.9251326171710892
2004-09-01,21,008_cycling_dhappq_asaq_2y,AL,0.9263373760764689
2004-09-01,22,008_cycling_dhappq_asaq_2y,AL,0.9254642595725447
2004-09-01,23,008_cycling_dhappq_asaq_2y,AL,0.9241947309381875
2004-09-01,24,008_cycling_dhappq_asaq_2y,AL,0.925416898373463
2004-09-01,25,008_cycling_dhappq_asaq_2y,AL,0.9253217893815407
2004-09-01,26,008_cycling_dhappq_asaq_2y,AL,0.9231107204636483
2004-09-01,27,008_cycling_dhappq_asaq_2y,AL,0.9252470833761529
2004-09-01,28,008_cycling_dhappq_asaq_2y,AL,0.924858404520276
2004-09-01,29,008_cycling_dhappq_asaq_2y,AL,0.9238655634440187
2004-09-01,30,008_cycling_dhappq_asaq_2y,AL,0.9239716565544872
2004-09-01,31,008_cycling_dhappq_asaq_2y,AL,0.9237870603705546
2004-10-01,0,008_cycling_dhappq_asaq_2y,AL,0.9237668077273092
2004-10-01,1,008_cycling_dhappq_asaq_2y,AL,0.9247452526873644
2004-10-01,2,008_cycling_dhappq_asaq_2y,AL,0.9234217367829808
2004-10-01,3,008_cycling_dhappq_asaq_2y,AL,0.9218467638868214
2004-10-01,4,008_cycling_dhappq_asaq_2y,AL,0.924729719549362
2004-10-01,5,008_cycling_dhappq_asaq_2y,AL,0.9224541948761443
2004-10-01,6,008_cycling_dhappq_asaq_2y,AL,0.9264217057025069
2004-10-01,7,008_cycling_dhappq_asaq_2y,AL,0.9253706533783091
2004-10-01,8,008_cycling_dhappq_asaq_2y,AL,0.9247796728862439
2004-10-01,9,008_cycling_dhappq_asaq_2y,AL,0.9256888962556841
2004-10-01,10,008_cycling_dhappq_asaq_2y,AL,0.9236060505240336
2004-10-01,11,008_cycling_dhappq_asaq_2y,AL,0.9267523219610275
2004-10-01,12,008_cycling_dhappq_asaq_2y,AL,0.9243594693942825
2004-10-01,13,008_cycling_dhappq_asaq_2y,AL,0.9251747494505594
2004-10-01,14,008_cycling_dhappq_asaq_2y,AL,0.9242697629911583
2004-10-01,15,008_cycling_dhappq_asaq_2y,AL,0.924276325944495
2004-10-01,16,008_cycling_dhappq_asaq_2y,AL,0.926093954558152
2004-10-01,17,008_cycling_dhappq_asaq_2y,AL,0.924724233549621
2004-10-01,18,008_cycling_dhappq_asaq_2y,AL,0.9239310880437018
2004-10-01,19,008_cycling_dhappq_asaq_2y,AL,0.9234068191952823
2004-10-01,20,008_cycling_dhappq_asaq_2y,AL,0.9253787868929452
