ID,Label
1,Acholi
2,Ankole
3,Bugisu
4,Bukedi
5,Bunyoro
6,Busoga
7,South Buganda
8,North Buganda
9,Kampala
10,Karamoja
11,Kigezi
12,Lango
13,Teso
14,Tooro
15,West Nile
