scenario,run,total_treatmentfailures,year
cycling_al_asaq_dhappq_1y,9,43777144,2031
cycling_al_asaq_dhappq_1y,10,46118028,2031
cycling_al_asaq_dhappq_1y,11,47133728,2031
cycling_al_asaq_dhappq_1y,12,45746432,2031
cycling_al_asaq_dhappq_1y,13,45296372,2031
cycling_al_asaq_dhappq_1y,14,43147396,2031
cycling_al_asaq_dhappq_1y,15,44986756,2031
cycling_al_asaq_dhappq_1y,16,44812836,2031
cycling_al_asaq_dhappq_1y,17,43673028,2031
cycling_al_asaq_dhappq_1y,18,44880072,2031
cycling_al_asaq_dhappq_1y,19,46469900,2031
cycling_al_asaq_dhappq_1y,20,44717704,2031
cycling_al_asaq_dhappq_1y,21,45436412,2031
cycling_al_asaq_dhappq_1y,22,45743088,2031
cycling_al_asaq_dhappq_1y,23,44889724,2031
cycling_al_asaq_dhappq_1y,24,43512572,2031
cycling_al_asaq_dhappq_1y,25,44780612,2031
cycling_al_asaq_dhappq_1y,26,44556380,2031
cycling_al_asaq_dhappq_1y,27,43691432,2031
cycling_al_asaq_dhappq_1y,28,42972948,2031
cycling_al_asaq_dhappq_1y,29,43983512,2031
cycling_al_asaq_dhappq_1y,30,46516000,2031
cycling_al_asaq_dhappq_1y,31,44880760,2031
cycling_al_asaq_dhappq_2y,0,44146880,2031
cycling_al_asaq_dhappq_2y,1,43488056,2031
cycling_al_asaq_dhappq_2y,2,44771916,2031
cycling_al_asaq_dhappq_2y,3,43156148,2031
cycling_al_asaq_dhappq_2y,4,45797584,2031
cycling_al_asaq_dhappq_2y,5,43164388,2031
cycling_al_asaq_dhappq_2y,6,42737944,2031
cycling_al_asaq_dhappq_2y,7,43240796,2031
cycling_al_asaq_dhappq_2y,8,44924684,2031
cycling_al_asaq_dhappq_2y,9,43311516,2031
cycling_al_asaq_dhappq_2y,10,43823272,2031
cycling_al_asaq_dhappq_2y,11,45579700,2031
cycling_al_asaq_dhappq_2y,12,42938624,2031
cycling_al_asaq_dhappq_2y,13,44623556,2031
cycling_al_asaq_dhappq_2y,14,42884648,2031
cycling_al_asaq_dhappq_2y,15,43313576,2031
cycling_al_asaq_dhappq_2y,16,44882796,2031
cycling_al_asaq_dhappq_2y,17,43089064,2031
cycling_al_asaq_dhappq_2y,18,43642664,2031
cycling_al_asaq_dhappq_2y,19,44697308,2031
cycling_al_asaq_dhappq_2y,20,43160112,2031
cycling_al_asaq_dhappq_2y,21,44490948,2031
cycling_al_asaq_dhappq_2y,22,43715120,2031
cycling_al_asaq_dhappq_2y,23,42673832,2031
cycling_al_asaq_dhappq_2y,24,43416528,2031
cycling_al_asaq_dhappq_2y,25,44209724,2031
cycling_al_asaq_dhappq_2y,26,44251108,2031
cycling_al_asaq_dhappq_2y,27,43204240,2031
cycling_al_asaq_dhappq_2y,28,43963776,2031
cycling_al_asaq_dhappq_2y,29,44220088,2031
cycling_al_asaq_dhappq_2y,30,43955216,2031
cycling_al_asaq_dhappq_2y,31,44097812,2031
cycling_al_dhappq_1y,0,47517816,2031
cycling_al_dhappq_1y,1,50064272,2031
cycling_al_dhappq_1y,2,48051320,2031
cycling_al_dhappq_1y,3,49011588,2031
cycling_al_dhappq_1y,4,47709800,2031
cycling_al_dhappq_1y,5,47387428,2031
cycling_al_dhappq_1y,6,50408264,2031
cycling_al_dhappq_1y,7,48356356,2031
cycling_al_dhappq_1y,8,48342868,2031
cycling_al_dhappq_1y,9,51204792,2031
cycling_al_dhappq_1y,10,49422712,2031
cycling_al_dhappq_1y,11,47884964,2031
cycling_al_dhappq_1y,12,48185500,2031
cycling_al_dhappq_1y,13,50923824,2031
cycling_al_dhappq_1y,14,48768464,2031
cycling_al_dhappq_1y,15,47874092,2031
cycling_al_dhappq_1y,16,47104424,2031
cycling_al_dhappq_1y,17,46464260,2031
cycling_al_dhappq_1y,18,47700040,2031
cycling_al_dhappq_1y,19,50964684,2031
cycling_al_dhappq_1y,20,47243156,2031
cycling_al_dhappq_1y,21,47785704,2031
cycling_al_dhappq_1y,22,49074196,2031
cycling_al_dhappq_1y,23,47407716,2031
cycling_al_dhappq_1y,24,50504296,2031
cycling_al_dhappq_1y,25,50022720,2031
cycling_al_dhappq_1y,26,49046840,2031
cycling_al_dhappq_1y,27,47507924,2031
cycling_al_dhappq_1y,28,50386028,2031
cycling_al_dhappq_1y,29,48409992,2031
cycling_al_dhappq_1y,30,48491316,2031
cycling_al_dhappq_1y,31,48529188,2031
cycling_al_dhappq_2y,0,52702796,2031
cycling_al_dhappq_2y,1,52772888,2031
cycling_al_dhappq_2y,2,52936332,2031
cycling_al_dhappq_2y,3,53510800,2031
cycling_al_dhappq_2y,4,54471712,2031
cycling_al_dhappq_2y,5,54548064,2031
cycling_al_dhappq_2y,6,55796808,2031
cycling_al_dhappq_2y,7,52547080,2031
cycling_al_dhappq_2y,8,54487084,2031
cycling_al_dhappq_2y,9,51687088,2031
cycling_al_dhappq_2y,10,50987476,2031
cycling_al_dhappq_2y,11,53818316,2031
cycling_al_dhappq_2y,12,52286772,2031
cycling_al_dhappq_2y,13,53277476,2031
cycling_al_dhappq_2y,14,52641400,2031
cycling_al_dhappq_2y,15,55704820,2031
cycling_al_dhappq_2y,16,51194808,2031
cycling_al_dhappq_2y,17,51887612,2031
cycling_al_dhappq_2y,18,52493780,2031
cycling_al_dhappq_2y,19,52806568,2031
cycling_al_dhappq_2y,20,52899200,2031
cycling_al_dhappq_2y,21,52044084,2031
cycling_al_dhappq_2y,22,51998916,2031
